Locale_code	en_US	ja_JP	zh_CN	zh_TW
bbb.alertOKLabel.text	OK	確認	確認	確認
bbb.app.version	v0.97	v0.97	v0.97	v0.97
bbb.bw.message.bwlow	Your bandwidth shortage will affect your video and sound quality.	インターネットのスピードが足りないので、画質と音質が下がる可能性があります。	您的頻寬不足，將影響到您的視訊與声音品質。	您的頻寬不足，將影響到您的視訊與聲音品質。
bbb.bw.message.bwtoolow	Your free usage of bandwidth is critically low. Your meeting is about to be shut down.	インターネットが限界まで遅くなったので、強制退室する事になります。	您的頻寬使用量嚴重不足. 您的會議即將被關閉.	您的頻寬使用量嚴重不足. 您的會議即將被關閉.
bbb.bw.message.title	Warning: bandwidth is too low	警告：インターネットのスピードが足りません。	警示：頻寬過低	警示：頻寬過低
bbb.chat.chatOptions	Chat Options	チャット設定	聊天选项	聊天選項
bbb.chat.cmpColorPicker.toolTip	Text Color	文字の色	文字颜色	文字顏色
bbb.chat.fontSize	Font Size	文字の大きさ	字体大小	字體大小
bbb.chat.messagereceived	New Message	メッセージ	新讯息	新訊息
bbb.chat.privateChatFrom	From	から	從	從
bbb.chat.privateChatMe	Me	私	我	我
bbb.chat.privateChatSelect	Select a person to chat with privately	プライベートチャットする個人を選択	选择私聊对象	選擇聊天對象
bbb.chat.privateChatTo	To	へ	给	給
bbb.chat.privateMsgAwaiting	Private message awaiting	プライベートメッセージを待っています	等待私聊消息	等待私人訊息
bbb.chat.privateMsgAwaiting2	* Private message awaiting *	* プライベートメッセージを待っています *	* 等待私聊消息 *	* 等待聊天訊息 *
bbb.chat.publicChatUsername	All	すべて	所有	所有人
bbb.chat.publicMsgAwaiting	Public message awaiting	公開メッセージを待っています	等待公共消息	等待公共訊息
bbb.chat.publicMsgAwaiting2	* Public message awaiting *	* 公開メッセージ待機中 *	* 等待公共消息 *	* 等待公共訊息 *
bbb.chat.sendBtn	Send	送信	发送	傳送
bbb.chat.sendBtn.toolTip	Submit	メッセージを送信	发送消息	送出消息
bbb.chat.title	Chat	チャット	聊天	聊天
bbb.chat.title.toolTip	Show or hide the chat screen	チャット画面を表示/隠す	显示或隐藏在聊天屏幕	顯示或隱藏聊天畫面
bbb.conference.assistantLeft	TA has left the program, \nplease reassign assistant	アシスタントはもう退室しました。\nアシスタントを選び直してください。	助教已离开课程.\n请重新指派助教	助教已離開課程，\n請重新指派助教
bbb.conference.presenterLeft	Presenter has left the program, \nplease reassign presenter	スピーカーはもう退室しました。\nスピーカーを選び直してください。	主讲人已离开课程.\n请重新指派主讲人	主講人已離開課程，\n請重新指派主講人
